,club_position,work_rate,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle
3129,RCM,High/High,85.0,58.0,68.0,73.0,61.0,81.0,69,55,61,73,67,73,66,52,69,73,86,85,80,70,66,59,75,85,83,61,70,66,66,62,51,65,56,64,58
3130,RB,Medium/Medium,60.0,50.0,63.0,64.0,69.0,70.0,66,35,62,68,42,61,68,58,53,65,68,53,66,70,64,71,68,68,71,64,68,70,63,57,32,67,69,70,68
3131,RDM,High/High,53.0,68.0,67.0,63.0,71.0,83.0,67,64,70,68,66,60,70,68,67,66,52,53,56,69,63,79,70,91,82,72,77,72,71,66,52,72,71,71,69
3132,RB,High/Medium,64.0,42.0,62.0,64.0,66.0,63.0,70,41,57,66,30,63,41,31,55,65,71,59,68,65,61,50,53,77,57,39,64,63,59,66,33,65,64,70,70
3133,ST,High/High,59.0,69.0,47.0,66.0,31.0,73.0,33,71,76,57,63,66,53,33,42,69,52,65,60,65,58,75,65,59,85,58,61,22,71,50,75,63,37,22,16
3134,LCB,Low/Medium,64.0,36.0,49.0,54.0,70.0,73.0,26,37,70,66,26,48,25,31,71,60,63,65,51,61,58,48,68,62,81,25,66,66,26,38,44,63,72,69,71
3135,LB,High/Medium,82.0,59.0,65.0,73.0,62.0,60.0,68,57,51,64,60,74,75,65,65,72,85,80,74,66,82,68,73,65,55,55,63,65,64,59,50,66,61,64,68
3136,RDM,Medium/High,56.0,59.0,68.0,65.0,65.0,62.0,62,60,44,74,56,60,54,55,68,69,59,54,63,69,72,61,46,72,58,55,62,65,55,71,57,72,71,67,64
3137,LM,Medium/Medium,82.0,61.0,64.0,68.0,62.0,63.0,68,62,64,66,57,68,62,43,63,67,80,83,76,65,70,64,80,72,53,58,73,63,60,64,63,67,59,65,62
3138,RCB,Low/Medium,52.0,41.0,47.0,49.0,69.0,76.0,36,41,79,57,37,43,29,34,55,53,54,50,51,63,44,47,85,66,81,33,76,66,48,41,41,56,70,68,65
3139,RDM,Medium/High,63.0,58.0,64.0,63.0,67.0,74.0,57,56,57,68,57,60,65,70,64,64,62,63,71,66,67,61,62,88,70,58,71,67,64,60,56,59,68,69,65
3140,RDM,Medium/Medium,72.0,55.0,59.0,66.0,66.0,78.0,47,52,50,68,40,65,51,43,66,68,69,74,67,67,54,67,57,81,81,55,74,65,52,54,42,65,66,70,68
3141,LCB,High/High,74.0,40.0,59.0,65.0,68.0,76.0,66,35,70,66,35,62,49,33,51,66,72,76,70,66,71,52,80,81,76,37,70,68,58,54,43,59,66,71,66
3142,LS,High/Low,86.0,68.0,52.0,65.0,24.0,70.0,42,69,65,57,57,63,58,54,43,65,85,87,79,68,65,70,78,69,84,66,33,17,68,58,70,58,21,19,16
3143,RS,High/Medium,76.0,72.0,54.0,65.0,23.0,65.0,52,74,71,58,66,67,49,69,48,66,77,76,67,57,55,72,74,51,74,69,57,16,70,50,70,51,18,15,23
3144,CAM,High/Medium,88.0,67.0,59.0,75.0,33.0,69.0,54,70,60,61,64,72,62,46,50,74,87,89,92,65,92,67,90,77,64,61,64,39,71,72,71,60,38,16,27
3145,LCM,High/High,60.0,63.0,62.0,62.0,69.0,77.0,60,62,66,63,51,62,60,43,65,58,69,53,69,71,62,68,81,90,72,63,71,72,67,64,63,62,71,68,65
3146,LS,Medium/Medium,68.0,68.0,54.0,69.0,21.0,67.0,35,69,69,62,69,68,59,32,59,70,68,68,70,65,70,70,80,70,75,65,40,15,70,61,65,66,16,16,12
3147,LCM,High/Low,75.0,60.0,70.0,73.0,50.0,69.0,68,56,38,73,61,69,66,67,69,73,77,73,87,68,86,70,72,86,64,62,59,61,66,68,39,72,46,49,56
3148,LWB,Medium/High,75.0,43.0,65.0,64.0,67.0,73.0,60,36,64,70,48,60,60,47,68,65,74,76,70,65,82,57,80,72,77,38,63,67,65,65,44,61,66,68,65
3149,CAM,High/Medium,84.0,60.0,61.0,70.0,46.0,70.0,61,59,59,66,50,70,57,51,61,70,82,85,83,61,71,68,56,76,71,56,65,43,63,58,62,55,33,52,56
3150,RCB,Medium/Medium,49.0,45.0,45.0,42.0,67.0,78.0,28,45,81,61,31,39,35,28,54,46,43,54,33,62,30,59,76,54,90,36,76,61,34,36,45,60,69,65,68
3151,RCB,Medium/Medium,79.0,52.0,61.0,68.0,64.0,75.0,62,50,62,67,52,65,60,50,58,67,80,79,81,65,81,62,73,82,74,50,70,62,58,56,40,64,65,65,63
3152,RB,Medium/Medium,69.0,34.0,56.0,66.0,66.0,65.0,66,26,48,65,23,63,53,36,48,65,74,64,76,67,77,45,75,75,59,38,63,66,42,44,40,64,70,65,70
3153,RDM,Medium/High,57.0,57.0,64.0,62.0,70.0,74.0,57,58,69,70,31,58,54,67,67,66,59,55,64,58,59,63,88,77,75,59,65,66,47,62,59,70,72,72,70
3154,RDM,Medium/Medium,73.0,62.0,66.0,70.0,67.0,71.0,57,60,74,74,57,69,50,41,70,71,76,71,77,69,69,69,72,81,72,62,57,64,57,68,54,68,65,68,64
3155,CAM,High/Medium,73.0,66.0,68.0,72.0,42.0,67.0,66,68,61,70,55,72,66,63,68,70,76,71,82,64,80,70,76,68,63,62,73,45,67,66,60,64,35,43,38
3156,RDM,Medium/Medium,70.0,57.0,69.0,69.0,67.0,77.0,63,53,64,75,56,66,70,73,69,73,69,70,70,68,70,65,68,91,76,59,66,66,59,64,58,71,68,68,62
3157,RCB,Low/Medium,45.0,35.0,52.0,53.0,70.0,73.0,35,27,62,61,34,50,31,29,60,59,39,50,36,62,54,55,63,59,80,29,73,72,32,57,47,66,69,71,72
3158,LDM,Medium/Medium,50.0,47.0,64.0,64.0,65.0,78.0,58,48,62,72,34,67,63,38,66,65,39,59,52,64,53,49,68,87,78,49,71,68,49,62,39,65,65,65,63
3159,RCB,Medium/High,69.0,31.0,44.0,54.0,67.0,82.0,26,35,72,59,28,43,21,26,57,61,65,73,69,66,58,33,89,80,89,21,67,63,28,35,37,58,69,68,63
3160,RCM,Medium/Medium,57.0,38.0,56.0,58.0,70.0,71.0,39,39,65,68,39,54,38,33,63,61,54,60,56,69,63,45,77,71,72,26,68,72,54,55,38,59,69,71,68
3161,RCM,Medium/High,56.0,54.0,68.0,72.0,52.0,67.0,45,48,42,76,47,71,70,67,74,75,63,50,69,71,67,58,64,68,75,60,46,53,52,72,74,70,63,47,40
3162,RM,High/Medium,84.0,62.0,64.0,69.0,59.0,66.0,66,64,48,66,46,69,63,61,58,65,85,84,83,65,72,63,46,73,68,60,56,62,66,65,62,69,54,64,59
3163,RCM,Low/Medium,77.0,54.0,70.0,75.0,51.0,57.0,64,49,20,75,58,73,63,54,72,72,78,76,91,69,83,66,66,80,42,55,64,62,53,72,48,68,55,52,43
3164,LCB,Low/Medium,69.0,57.0,61.0,68.0,69.0,73.0,52,58,69,65,64,68,58,48,67,72,69,69,62,66,61,62,73,76,73,48,71,67,64,61,49,60,69,71,67
3165,LCB,Medium/High,68.0,33.0,48.0,57.0,70.0,70.0,40,29,68,53,41,53,32,31,58,63,66,69,45,65,64,50,71,69,71,21,68,68,27,48,54,70,70,72,74
3166,LB,High/Medium,86.0,34.0,62.0,70.0,64.0,70.0,66,32,57,64,29,68,63,44,63,68,85,86,88,63,78,30,62,67,71,33,75,64,69,59,37,70,63,67,64
3167,LCB,High/High,78.0,46.0,57.0,66.0,66.0,79.0,51,34,64,64,35,68,51,38,67,65,73,82,70,62,53,68,80,72,84,55,77,66,52,51,44,69,65,67,70
3168,LM,Medium/Medium,80.0,64.0,60.0,71.0,39.0,71.0,65,67,47,63,50,73,52,32,59,70,81,79,77,63,65,68,59,68,77,58,62,39,70,60,59,68,44,34,28
3169,LCB,Low/High,57.0,30.0,42.0,42.0,70.0,75.0,30,26,73,52,29,45,32,29,51,33,54,59,35,67,34,41,65,49,88,24,76,70,29,34,42,65,71,70,65
3170,LCB,Medium/High,60.0,33.0,55.0,57.0,68.0,77.0,64,22,64,58,27,52,30,28,57,60,53,66,54,67,63,54,84,76,81,32,67,72,51,53,37,64,67,68,70
3171,LM,High/Medium,89.0,67.0,61.0,70.0,26.0,78.0,63,64,74,65,60,67,59,44,57,69,90,88,82,64,79,73,93,82,73,65,82,15,73,58,75,66,34,12,16
3172,RB,High/Medium,53.0,31.0,58.0,63.0,70.0,71.0,69,22,66,64,31,64,31,34,48,65,40,64,54,68,61,45,67,65,75,29,69,70,45,56,44,64,70,72,70
3173,RCB,Medium/High,67.0,35.0,52.0,51.0,69.0,74.0,51,29,69,64,22,42,41,24,61,57,65,68,61,68,59,52,71,71,76,31,72,67,41,35,36,56,71,70,68
3174,RW,Medium/Medium,81.0,60.0,57.0,75.0,36.0,51.0,54,64,44,64,55,77,46,39,55,73,79,82,79,70,84,68,49,66,42,42,56,21,65,54,59,59,50,33,27
3175,LCB,Medium/Medium,48.0,32.0,47.0,54.0,70.0,74.0,60,24,68,55,27,47,28,35,43,60,51,45,57,67,60,46,55,71,77,27,75,63,47,30,48,59,72,74,70
3176,ST,Medium/Medium,89.0,69.0,60.0,67.0,30.0,77.0,58,70,57,62,61,67,60,53,55,67,86,91,81,62,50,71,68,81,81,68,66,25,65,66,68,65,33,25,19
3177,RDM,Medium/Medium,69.0,66.0,69.0,67.0,60.0,67.0,62,59,52,74,61,66,71,64,70,67,67,71,64,71,78,79,57,80,60,71,71,64,66,66,54,62,64,57,54
3178,RM,High/Medium,60.0,56.0,63.0,68.0,68.0,70.0,71,44,72,69,58,65,54,41,65,73,59,61,81,57,62,66,63,72,71,67,69,75,48,52,76,57,70,60,68
3179,RWB,Medium/Medium,72.0,54.0,59.0,67.0,69.0,74.0,66,42,69,65,60,69,62,60,52,65,68,76,66,65,59,74,68,71,75,58,78,63,63,48,51,64,73,70,62
3180,CAM,Medium/Medium,65.0,66.0,70.0,70.0,55.0,60.0,67,60,57,71,66,70,70,71,69,72,66,64,67,67,75,75,44,69,63,71,45,60,64,74,69,68,55,53,48
3181,CB,Medium/Medium,56.0,50.0,57.0,49.0,70.0,72.0,57,52,76,65,49,44,51,55,61,55,55,56,46,70,35,53,68,58,88,44,49,58,31,44,62,60,70,75,74
3182,LM,Medium/Medium,77.0,57.0,72.0,68.0,36.0,49.0,73,58,51,72,44,70,73,77,70,65,79,75,68,67,73,52,49,49,50,61,44,22,70,70,60,68,36,42,35
3183,RDM,Medium/Medium,74.0,60.0,65.0,68.0,69.0,77.0,56,59,56,71,47,68,51,43,72,70,72,75,65,68,72,69,70,84,74,60,75,70,57,65,45,56,67,74,70
3184,LCB,Medium/High,67.0,33.0,50.0,44.0,72.0,71.0,36,32,73,66,30,34,33,28,63,51,67,67,50,58,45,44,73,68,77,25,58,69,28,37,41,60,75,71,69
3185,LF,High/Medium,64.0,56.0,69.0,71.0,54.0,63.0,60,50,60,73,52,72,64,65,70,73,65,64,67,70,65,65,59,70,63,63,55,52,66,70,48,61,53,55,52
3186,ST,High/Medium,70.0,71.0,56.0,67.0,30.0,66.0,49,75,66,65,63,68,51,49,47,68,72,68,71,58,65,70,72,66,74,65,45,21,71,55,72,54,22,30,35
3187,ST,High/Medium,86.0,66.0,62.0,71.0,40.0,49.0,61,68,63,67,64,72,65,43,52,68,89,84,78,64,81,71,93,58,36,59,57,42,65,68,59,67,49,25,26
3188,CDM,Medium/High,33.0,42.0,61.0,48.0,68.0,72.0,44,40,57,73,18,41,24,32,67,60,33,33,31,71,29,49,34,67,81,47,63,69,43,67,31,75,71,70,57
3189,LCM,High/Medium,71.0,59.0,68.0,69.0,37.0,64.0,69,58,29,70,55,68,64,55,66,70,73,69,77,66,66,63,40,65,71,60,50,38,70,68,34,66,35,40,35
3190,CM,High/Medium,73.0,56.0,56.0,63.0,64.0,54.0,65,54,49,64,37,60,53,75,38,65,75,71,66,62,78,65,69,89,40,61,40,66,53,40,40,51,67,65,66
3191,RCB,Medium/High,62.0,38.0,53.0,61.0,69.0,70.0,52,35,66,61,42,57,48,41,65,64,67,57,64,71,59,46,80,68,74,33,62,69,46,35,40,60,68,72,70
3192,LCB,Medium/Medium,77.0,46.0,62.0,70.0,63.0,73.0,68,43,52,66,39,70,81,57,46,68,76,78,77,62,82,56,75,82,68,42,72,62,49,55,47,58,63,67,65
3193,LW,High/High,83.0,63.0,65.0,68.0,40.0,75.0,73,59,64,68,47,70,59,37,61,68,80,85,68,65,59,74,70,78,75,64,70,38,63,65,66,53,42,35,28
3194,LM,High/Medium,74.0,67.0,65.0,73.0,36.0,60.0,64,65,64,67,71,74,65,63,56,74,72,76,75,68,63,70,68,46,64,67,64,36,68,71,77,65,26,37,31
3195,CB,Medium/High,41.0,25.0,49.0,49.0,69.0,77.0,40,19,77,62,25,48,30,21,59,56,50,34,31,66,32,45,67,65,92,17,56,68,29,40,30,61,70,68,65
3196,LS,High/Medium,78.0,67.0,54.0,69.0,37.0,77.0,55,68,66,61,66,68,43,27,43,70,75,80,73,64,62,69,65,70,85,63,68,48,70,58,58,67,27,35,25
3197,RCB,Low/Medium,46.0,38.0,45.0,49.0,68.0,81.0,41,31,67,57,29,44,26,26,52,56,45,46,44,67,34,67,66,74,91,34,69,67,26,33,27,50,69,69,65
3198,LCM,Medium/Medium,70.0,46.0,62.0,67.0,65.0,75.0,56,38,60,69,35,67,45,31,66,69,68,71,65,65,68,57,68,87,75,54,64,66,59,64,32,65,67,66,63
3199,RCB,Medium/Medium,57.0,36.0,50.0,58.0,70.0,69.0,33,33,70,69,37,54,25,27,55,64,50,62,56,62,52,52,72,61,76,27,62,72,26,43,41,57,71,68,66
3200,LCM,Medium/High,57.0,54.0,62.0,63.0,67.0,76.0,52,53,65,70,47,63,47,39,68,67,49,63,52,63,67,67,74,80,75,45,72,67,57,62,45,63,69,66,65
3201,ST,Medium/Medium,65.0,70.0,50.0,67.0,22.0,62.0,41,74,68,58,64,68,54,42,50,69,63,67,57,72,60,69,63,64,63,61,57,18,70,47,71,59,17,15,18
3202,RB,Medium/Medium,72.0,42.0,63.0,62.0,65.0,75.0,71,46,66,62,29,61,36,36,64,63,66,76,61,63,63,39,76,83,75,36,64,67,60,68,37,57,62,66,64
3203,RCM,High/High,71.0,61.0,67.0,65.0,63.0,73.0,63,57,38,72,43,64,47,55,70,66,64,77,63,67,75,72,71,88,66,67,72,68,62,66,54,64,65,67,64
3204,LWB,Medium/Medium,60.0,35.0,58.0,66.0,69.0,70.0,65,31,63,65,31,66,31,32,53,66,59,61,65,69,65,37,55,74,72,35,62,67,61,56,34,61,69,71,70
3205,RM,High/High,72.0,63.0,67.0,69.0,66.0,77.0,66,64,67,70,52,68,60,53,67,70,68,75,67,72,72,68,76,85,77,61,68,66,69,66,55,73,67,66,64
3206,LB,High/Medium,76.0,48.0,65.0,66.0,64.0,70.0,64,33,53,71,64,61,62,36,62,66,81,72,83,67,79,68,93,80,66,60,64,62,59,64,30,63,66,68,64
3207,RCM,Medium/High,65.0,58.0,69.0,68.0,60.0,71.0,59,57,56,72,43,65,61,70,71,70,70,60,70,66,72,58,70,74,69,64,70,64,61,72,52,67,59,61,58
3208,RCM,Medium/Medium,80.0,64.0,67.0,69.0,65.0,69.0,65,65,52,69,50,69,59,56,68,71,77,82,72,66,67,65,64,77,69,66,61,68,68,70,48,63,66,68,64
3209,LB,Medium/High,79.0,55.0,62.0,64.0,62.0,77.0,69,49,59,66,59,62,61,63,64,65,82,77,71,65,56,71,61,86,79,53,66,65,57,46,47,63,59,63,62
3210,LDM,Medium/High,64.0,56.0,63.0,63.0,67.0,73.0,60,54,58,70,46,61,41,52,64,64,63,64,68,67,68,58,58,90,68,62,66,70,61,62,56,60,64,70,66
3211,RCB,Medium/Low,66.0,24.0,55.0,50.0,68.0,73.0,24,15,69,70,27,34,25,28,74,64,64,67,64,66,55,44,79,70,75,20,68,65,28,58,31,55,72,68,65
3212,LCM,Medium/Medium,52.0,59.0,69.0,70.0,64.0,71.0,64,61,48,73,39,68,64,63,69,73,51,53,68,66,69,65,54,84,69,60,62,70,51,68,48,72,69,64,57
3213,RDM,Medium/Medium,71.0,65.0,66.0,68.0,64.0,73.0,63,63,55,72,61,66,55,60,66,70,69,72,70,65,70,68,37,92,72,66,63,68,69,64,63,64,67,64,55
3214,RS,Medium/Medium,85.0,61.0,62.0,77.0,35.0,52.0,59,63,50,66,52,78,68,42,60,70,81,89,92,66,90,64,76,66,48,62,40,41,65,65,39,72,31,30,32
3215,LCM,High/High,65.0,63.0,68.0,76.0,36.0,60.0,61,60,45,71,67,76,67,52,69,75,75,57,84,71,81,69,56,92,47,65,52,49,65,72,48,64,31,32,27
3216,RCM,Medium/Medium,83.0,66.0,69.0,71.0,60.0,69.0,64,65,43,71,59,68,71,73,67,70,85,81,89,68,69,69,65,77,69,67,58,67,67,68,62,66,61,62,57
3217,RB,High/Medium,77.0,61.0,63.0,70.0,62.0,68.0,69,59,54,68,53,70,66,40,62,70,78,76,77,62,73,67,49,74,69,63,62,59,54,52,55,59,62,66,65
3218,LCB,Medium/High,54.0,55.0,56.0,59.0,67.0,78.0,44,36,65,64,34,60,31,61,67,63,47,60,42,65,51,88,82,72,83,76,73,68,42,49,38,65,66,69,66
3219,LW,Medium/Medium,75.0,62.0,63.0,74.0,39.0,53.0,59,64,33,68,60,73,57,63,56,72,79,72,92,61,86,60,81,72,44,58,47,33,69,66,62,63,50,36,33
3220,LB,Medium/High,75.0,53.0,59.0,60.0,64.0,76.0,63,56,64,67,46,57,55,52,52,64,72,77,65,64,51,58,74,83,76,44,69,65,48,50,49,53,63,65,66
3221,RCB,Low/Medium,72.0,25.0,38.0,49.0,70.0,74.0,20,21,68,42,22,39,60,28,49,56,65,77,54,66,61,37,82,59,84,22,64,72,28,39,31,62,70,69,66
3222,RCB,Medium/Medium,76.0,35.0,55.0,58.0,69.0,72.0,45,22,65,66,26,54,37,43,62,68,64,86,44,65,53,65,72,70,76,30,63,66,32,46,61,55,68,72,70
3223,LB,Medium/Medium,70.0,68.0,66.0,68.0,66.0,71.0,69,66,59,65,57,70,59,62,64,70,71,69,65,67,67,72,59,66,70,72,82,69,65,67,65,53,64,68,68
3224,RCB,Medium/Medium,71.0,37.0,54.0,56.0,68.0,73.0,45,25,67,64,39,51,39,22,62,63,61,80,53,67,53,59,66,63,81,45,69,71,30,51,26,57,64,69,68
3225,LDM,Medium/Medium,64.0,54.0,62.0,56.0,68.0,71.0,41,42,64,72,61,49,52,56,72,58,65,63,69,67,60,75,76,73,71,60,68,66,55,64,49,74,68,70,68
3226,RM,Medium/Medium,80.0,52.0,56.0,64.0,62.0,79.0,64,47,60,65,26,64,32,29,54,63,70,89,69,67,58,65,60,87,81,58,71,62,63,48,44,60,60,66,61
3227,RS,Medium/Medium,68.0,64.0,64.0,69.0,21.0,54.0,69,69,45,64,55,71,62,41,59,70,72,65,61,65,75,58,51,68,57,59,31,16,68,67,69,51,18,20,14
3228,LDM,Low/High,65.0,47.0,57.0,56.0,69.0,76.0,33,27,61,71,59,51,36,32,68,59,67,64,58,66,64,73,80,73,81,66,64,70,32,59,42,64,66,73,67
3229,RM,High/Low,91.0,64.0,59.0,74.0,35.0,53.0,60,60,50,60,73,76,66,58,57,68,92,91,83,65,91,74,42,71,50,60,40,44,66,56,64,62,27,34,33
3230,LDM,High/Medium,41.0,56.0,66.0,67.0,64.0,73.0,60,55,62,70,53,68,57,52,69,70,50,33,61,66,63,54,64,83,73,57,62,65,61,66,59,64,63,66,63
3231,CAM,Medium/Medium,82.0,66.0,65.0,72.0,35.0,58.0,67,65,51,67,56,71,68,65,57,72,83,82,82,67,81,69,47,71,58,66,44,23,66,67,66,64,43,30,38
3232,ST,Medium/Medium,85.0,68.0,54.0,69.0,31.0,71.0,59,67,66,59,61,68,56,38,37,69,86,84,82,64,66,69,50,80,81,67,38,18,71,58,77,65,37,24,28
3233,RCB,Medium/High,48.0,32.0,52.0,63.0,71.0,71.0,29,29,64,70,26,58,31,23,67,69,55,42,61,66,64,39,64,74,72,36,65,72,29,43,27,62,71,72,68
3234,LDM,High/High,67.0,54.0,63.0,67.0,66.0,75.0,53,47,62,69,56,65,47,48,68,70,67,67,70,68,55,64,78,83,74,57,67,66,57,65,52,67,66,67,62
3235,LB,High/Medium,76.0,63.0,69.0,66.0,63.0,65.0,73,61,62,70,41,68,70,72,59,67,78,74,60,64,68,63,68,72,65,72,55,55,70,68,57,55,61,70,67
3236,LB,Medium/Medium,68.0,54.0,65.0,63.0,68.0,69.0,66,49,64,70,40,60,50,58,68,68,67,69,61,62,64,60,64,70,71,59,62,68,65,59,64,66,69,69,63
3237,CB,Medium/Medium,48.0,31.0,53.0,53.0,73.0,71.0,44,26,64,58,25,45,32,25,67,54,50,47,62,68,61,56,85,70,73,20,62,73,28,53,35,74,75,73,71
3238,LCM,Medium/Medium,70.0,54.0,64.0,69.0,66.0,75.0,59,49,65,70,45,72,54,39,63,68,68,71,65,64,62,66,74,77,75,54,73,66,64,67,44,66,67,66,64
3239,RM,Medium/Medium,78.0,66.0,63.0,69.0,57.0,61.0,61,69,57,64,56,70,64,54,60,67,77,79,75,64,70,68,69,80,49,58,65,55,68,69,62,60,55,59,60
3240,LCB,Medium/Medium,59.0,49.0,59.0,61.0,66.0,81.0,54,43,67,68,38,56,43,54,67,69,58,59,63,58,59,61,75,84,82,50,75,66,36,49,68,62,63,69,68
3241,LM,Medium/Medium,62.0,47.0,59.0,64.0,69.0,68.0,60,41,70,64,47,61,65,55,58,65,66,59,63,71,60,57,70,65,71,52,66,75,49,47,48,80,64,68,73
3242,RCB,Medium/Medium,55.0,50.0,55.0,57.0,71.0,65.0,49,50,73,66,40,55,39,41,64,60,56,54,51,70,56,62,72,58,67,46,65,70,35,40,51,53,68,73,70
3243,RCB,Low/High,61.0,60.0,65.0,64.0,71.0,71.0,61,55,68,69,58,64,59,64,66,65,53,68,60,58,61,72,45,72,73,60,71,71,62,62,62,66,71,72,70
3244,ST,Medium/Medium,65.0,69.0,45.0,64.0,27.0,71.0,39,70,67,52,72,65,50,31,34,71,64,65,53,70,41,76,48,64,85,60,49,24,70,48,66,61,20,22,25
3245,CAM,High/Medium,86.0,68.0,64.0,75.0,38.0,58.0,62,71,44,66,58,73,72,68,53,74,84,87,89,71,83,68,59,69,58,67,44,38,72,66,47,69,45,32,30
3246,ST,High/Medium,86.0,68.0,54.0,70.0,27.0,70.0,52,71,61,60,64,69,64,33,42,68,89,84,83,66,69,70,81,76,70,63,58,22,70,56,61,65,25,22,20
3247,RCB,Medium/High,51.0,30.0,45.0,49.0,70.0,75.0,35,21,68,60,51,43,30,32,52,59,54,49,34,69,34,46,68,69,79,26,75,68,29,29,45,64,70,71,70
3248,RM,High/Medium,83.0,66.0,57.0,71.0,21.0,70.0,63,68,48,62,55,72,51,32,41,69,85,82,73,66,76,66,59,72,70,64,72,14,67,64,64,68,22,18,17
3249,LM,Medium/Low,87.0,64.0,60.0,73.0,24.0,42.0,63,63,59,62,68,74,61,43,56,68,88,87,89,63,88,66,51,62,34,61,34,20,67,60,64,57,20,21,22
3250,RB,High/High,82.0,62.0,59.0,67.0,62.0,72.0,63,58,53,62,57,69,62,39,54,64,78,85,73,68,66,78,66,76,71,60,72,63,60,60,55,61,63,62,65
3251,RCM,Medium/Medium,71.0,52.0,60.0,69.0,66.0,68.0,51,41,49,68,40,66,42,30,64,68,72,71,84,70,78,68,56,85,59,64,73,70,55,62,42,63,64,70,66
3252,LS,High/Low,63.0,70.0,52.0,68.0,30.0,75.0,29,70,66,64,62,66,46,41,53,73,61,64,66,67,64,72,74,74,78,69,69,29,75,56,68,72,23,27,23
3253,RCB,Medium/High,56.0,32.0,50.0,47.0,67.0,79.0,34,31,63,65,28,41,33,26,63,50,44,65,55,63,48,37,85,68,86,29,73,66,24,39,38,49,65,70,67
3254,LB,Medium/Medium,70.0,47.0,60.0,60.0,66.0,70.0,70,36,64,61,26,56,59,25,62,64,67,72,61,64,69,68,69,74,68,58,70,66,51,54,37,57,64,68,66
3255,LB,High/Medium,74.0,52.0,67.0,64.0,64.0,76.0,70,46,66,64,32,63,67,69,65,64,73,74,67,62,71,63,80,89,72,58,70,64,63,71,46,65,62,65,63
3256,CAM,Medium/Medium,74.0,59.0,67.0,70.0,57.0,64.0,58,56,48,73,51,70,60,47,68,72,73,75,71,64,69,72,63,69,61,56,66,56,67,70,47,66,58,59,61
3257,CB,Medium/High,53.0,56.0,66.0,65.0,68.0,71.0,61,56,66,71,44,64,53,55,74,68,46,59,62,56,62,60,50,77,70,55,70,66,58,60,55,69,69,70,64
3258,LM,High/Low,77.0,69.0,64.0,69.0,37.0,67.0,67,68,55,63,62,68,70,69,57,69,75,79,77,65,71,75,72,81,57,69,75,33,64,66,62,65,40,33,28
3259,RB,Medium/High,82.0,47.0,63.0,65.0,62.0,71.0,69,35,37,64,28,62,39,31,68,65,80,84,82,66,76,70,78,81,64,55,74,67,56,63,37,55,59,68,63
3260,RCB,High/Medium,76.0,42.0,62.0,63.0,63.0,74.0,69,41,61,63,32,61,52,43,62,64,77,75,72,64,66,40,86,78,75,44,65,64,51,58,45,60,61,65,64
3261,LCB,High/Medium,41.0,56.0,48.0,51.0,67.0,82.0,31,55,75,58,44,49,22,30,60,56,34,47,38,64,33,69,42,64,92,48,87,62,58,51,55,65,65,69,64
3262,RCM,Medium/Medium,87.0,60.0,64.0,65.0,61.0,68.0,70,65,53,65,47,63,66,51,59,67,91,84,68,65,71,53,59,80,63,57,70,61,62,63,57,60,61,63,61
3263,LCM,Medium/Medium,68.0,66.0,69.0,70.0,58.0,70.0,64,62,45,70,57,68,68,66,69,71,69,67,73,69,74,73,67,75,69,74,66,59,63,72,45,68,54,65,56
3264,RCB,Medium/Medium,54.0,25.0,44.0,50.0,69.0,72.0,29,22,66,64,31,44,28,25,45,52,53,55,57,67,56,36,87,68,72,20,73,68,20,31,35,58,68,73,67
3265,LM,Medium/Medium,86.0,72.0,64.0,72.0,36.0,66.0,65,69,32,63,54,73,73,76,60,68,87,85,89,63,76,84,83,64,72,79,47,29,63,60,46,61,42,36,39
3266,CDM,Medium/High,62.0,50.0,62.0,64.0,67.0,68.0,46,48,58,71,56,64,42,39,68,68,65,59,61,67,61,53,62,81,67,49,57,67,62,67,35,53,70,70,60
3267,CAM,High/Medium,65.0,65.0,66.0,71.0,60.0,70.0,59,64,55,69,60,70,65,60,67,71,67,64,76,68,81,68,67,89,59,66,74,62,66,67,64,68,64,58,59
3268,RS,High/Low,55.0,69.0,47.0,63.0,27.0,78.0,40,72,73,61,59,66,30,27,38,68,56,55,48,61,49,74,77,76,91,62,48,21,69,47,64,60,24,20,23
3269,RS,High/Medium,79.0,67.0,47.0,70.0,27.0,63.0,38,72,70,59,64,73,45,50,37,72,76,82,67,62,66,66,64,72,74,60,25,18,63,41,59,57,35,15,16
3270,RW,Medium/Medium,75.0,67.0,66.0,69.0,44.0,68.0,68,67,62,67,64,66,66,61,67,70,77,74,72,71,72,68,69,80,68,65,55,43,71,65,66,69,39,44,42
3271,LCB,Medium/Medium,75.0,32.0,43.0,46.0,69.0,75.0,41,29,71,51,32,41,36,31,43,44,79,72,49,68,67,41,81,63,82,29,69,65,30,36,39,54,69,72,70
3272,LB,High/Low,84.0,45.0,60.0,66.0,62.0,69.0,65,38,53,60,35,66,70,55,58,66,84,84,74,62,71,58,67,83,66,51,60,65,49,55,36,54,53,69,67
